"Season","Name","Team","G","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","PA","BB.Percent","K.Percent","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","XBR","wSB","wRC","wRAA","wOBA","wRC.","next_AVG"
2020,"Josh Donaldson","MIN",28,81,18,10,2,0,6,14,11,18,1,24,2,1,0,4,0,0,102,0.176,0.235,0.75,0.222,0.373,0.469,0.842,0.247,1.2,0.231,-0.4,-0.7,-0.4,-0.1,16,3.6,0.362,132,0.247
2021,"Josh Donaldson","MIN",135,457,113,61,26,0,26,73,72,74,2,114,4,8,0,22,0,0,543,0.136,0.21,0.65,0.247,0.352,0.475,0.827,0.228,1.3,0.268,-0.6,-3.2,-0.8,-0.5,83,17.2,0.353,126,0.222
2022,"Josh Donaldson","NYY",132,478,106,63,28,0,15,59,62,54,1,148,8,6,0,13,2,2,546,0.099,0.271,0.36,0.222,0.308,0.374,0.682,0.153,2.2,0.283,-2.9,-0.7,-3,-0.9,59,-3.6,0.302,96,0.142
2022,"Josh Jung","TEX",26,98,20,10,4,1,5,9,14,4,0,39,0,0,0,2,2,0,102,0.039,0.382,0.1,0.204,0.235,0.418,0.654,0.214,6,0.278,-1.7,-0.4,-0.5,0.3,9,-2.4,0.28,81,0.266
2023,"Josh Jung","TEX",122,478,127,78,25,1,23,75,70,30,0,151,5,2,0,7,1,3,515,0.058,0.293,0.2,0.266,0.315,0.467,0.781,0.201,3,0.34,-2.4,1.4,-1.5,-1.9,70,6.8,0.334,114,0.264
2022,"Josh Lowe","TBR",52,181,40,24,12,2,2,24,13,15,1,66,1,0,1,1,3,0,198,0.076,0.333,0.23,0.221,0.284,0.343,0.627,0.122,6.7,0.336,0.8,0.9,1.4,0.4,17,-5.3,0.276,81,0.292
2023,"Josh Lowe","TBR",135,466,136,81,33,2,20,71,83,31,2,124,1,3,0,6,32,3,501,0.062,0.248,0.25,0.292,0.335,0.5,0.835,0.208,6.8,0.357,1,1.7,0.5,4.3,76,14.8,0.354,130,0.241
2020,"Joshua Fuentes","COL",30,98,30,21,7,0,2,14,17,2,0,29,1,2,0,1,1,0,103,0.019,0.282,0.07,0.306,0.32,0.439,0.759,0.133,4.1,0.406,0.6,0.1,0.5,0.1,13,0.3,0.323,86,0.225
2020,"José Abreu","CHW",60,240,76,42,15,0,19,43,60,18,1,59,3,1,0,10,0,0,262,0.069,0.225,0.31,0.317,0.37,0.617,0.987,0.3,1.5,0.35,0.7,-1.5,-0.4,-0.2,53,20.2,0.411,164,0.261
2021,"José Abreu","CHW",152,566,148,86,30,2,30,86,117,61,3,143,22,10,0,28,1,0,659,0.093,0.217,0.43,0.261,0.351,0.481,0.831,0.219,2.8,0.293,-0.7,-3.4,-1.6,-0.4,101,21.5,0.354,125,0.304
