"Season","Name","Team","G","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","PA","BB.Percent","K.Percent","BB.K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","XBR","wSB","wRC","wRAA","wOBA","wRC.","next_AVG"
2022,"Reese McGuire","BOS",36,98,33,24,5,1,3,13,12,6,0,23,1,1,1,4,1,0,108,0.056,0.213,0.26,0.337,0.377,0.5,0.877,0.163,4.9,0.411,-0.8,-0.5,-0.8,0.1,18,6,0.379,145,0.225
2022,"Reese McGuire","CHW",53,151,34,25,9,0,0,12,10,6,0,33,2,2,5,2,0,0,166,0.036,0.199,0.18,0.225,0.261,0.285,0.546,0.06,1.4,0.283,-0.8,0.3,-0.6,-0.1,10,-8.9,0.242,53,0.267
2023,"Reese McGuire","BOS",72,187,50,36,12,1,1,15,16,11,0,53,1,1,2,2,2,1,206,0.053,0.257,0.21,0.267,0.31,0.358,0.668,0.091,3.5,0.366,-2.2,0.5,-0.9,-0.4,21,-4.3,0.293,80,0.209
2020,"Rhys Hoskins","PHI",41,151,37,18,9,0,10,35,26,29,0,43,5,0,0,4,1,0,185,0.157,0.232,0.67,0.245,0.384,0.503,0.887,0.258,3.7,0.276,-0.5,0.1,-0.1,0,33,9.8,0.382,139,0.247
2021,"Rhys Hoskins","PHI",107,389,96,40,29,0,27,64,71,47,0,108,5,2,0,7,3,2,443,0.106,0.244,0.44,0.247,0.334,0.53,0.864,0.283,2.8,0.27,-1.4,0.5,-1.6,-0.6,72,18.3,0.364,127,0.246
2022,"Rhys Hoskins","PHI",156,589,145,80,33,2,30,81,79,72,0,169,6,4,0,12,2,1,672,0.107,0.251,0.43,0.246,0.332,0.462,0.794,0.216,2.8,0.292,-2.6,-0.1,-2,-0.7,96,18.9,0.345,123,0.214
2022,"Richie Palacios","CLE",54,112,26,20,6,0,0,7,10,9,1,20,1,1,0,2,2,0,123,0.073,0.163,0.45,0.232,0.293,0.286,0.578,0.054,3.4,0.28,0.1,-0.1,0.1,0.3,9,-5.1,0.258,66,0.258
2023,"Richie Palacios","STL",32,93,24,12,6,0,6,9,16,6,0,11,1,1,1,1,2,0,102,0.059,0.108,0.55,0.258,0.307,0.516,0.823,0.258,3.3,0.234,-0.4,0.5,0.1,0.3,15,2.4,0.346,120,0.223
2022,"Riley Greene","DET",93,376,95,68,18,4,5,46,42,36,0,120,3,3,0,8,1,4,418,0.086,0.287,0.3,0.253,0.321,0.362,0.682,0.109,4.2,0.354,1.8,-0.1,1.1,-1.8,45,-2.3,0.303,98,0.288
2023,"Riley Greene","DET",99,378,109,75,19,4,11,51,37,35,0,114,1,2,0,7,7,0,416,0.084,0.274,0.31,0.288,0.349,0.447,0.796,0.159,6,0.384,0.6,0.3,1.5,0.5,60,9,0.344,119,0.262
2021,"Rob Refsnyder","MIN",51,139,34,25,7,0,2,21,12,17,0,40,0,1,0,4,1,0,157,0.108,0.255,0.43,0.245,0.325,0.338,0.663,0.094,3.5,0.327,-0.1,-0.5,-0.2,0.1,17,-2.4,0.296,88,0.307
2022,"Rob Refsnyder","BOS",57,153,47,30,11,0,6,25,21,15,0,46,6,3,0,1,1,1,177,0.085,0.26,0.33,0.307,0.384,0.497,0.881,0.19,2.6,0.394,1.3,0.8,0.5,-0.4,30,10.1,0.381,146,0.248
2023,"Rob Refsnyder","BOS",89,202,50,39,9,1,1,31,28,33,0,47,5,1,1,8,7,2,243,0.136,0.193,0.7,0.248,0.365,0.317,0.682,0.069,5.4,0.316,-0.4,-1,0.6,0,29,-0.8,0.314,95,0.283
2020,"Robbie Grossman","OAK",51,166,40,18,12,2,8,23,23,21,2,38,5,0,0,1,8,1,192,0.109,0.198,0.55,0.241,0.344,0.482,0.826,0.241,6.8,0.267,0.4,0.6,0.9,1,29,5,0.351,128,0.239
2021,"Robbie Grossman","DET",156,557,133,84,23,3,23,88,67,98,3,155,8,6,2,8,20,5,671,0.146,0.231,0.63,0.239,0.357,0.415,0.772,0.176,5.2,0.286,-0.1,0.8,1.4,1.3,94,12.8,0.337,114,0.217
2022,"Robbie Grossman","ATL",46,138,30,19,6,0,5,16,22,18,0,39,0,1,0,1,3,1,157,0.115,0.248,0.46,0.217,0.306,0.37,0.675,0.152,3.4,0.263,0.6,0.9,0.5,0,17,-1.2,0.3,91,0.205
2022,"Robbie Grossman","DET",83,273,56,40,13,1,2,24,23,38,0,90,6,3,0,2,3,1,320,0.119,0.281,0.42,0.205,0.313,0.282,0.595,0.077,3.4,0.293,-2.3,0.7,-0.5,-0.1,28,-8.8,0.275,78,0.238
2023,"Robbie Grossman","TEX",115,353,84,50,23,1,10,56,49,57,0,98,2,8,0,8,1,0,420,0.136,0.233,0.58,0.238,0.34,0.394,0.734,0.156,3.3,0.292,1.6,0.3,-0.3,-0.6,53,1.4,0.323,106,0.238
2021,"Robinson Chirinos","CHC",45,97,22,11,5,1,5,13,15,9,0,36,5,0,1,2,0,0,112,0.08,0.321,0.25,0.227,0.324,0.454,0.778,0.227,3.4,0.304,-0.7,-0.4,-0.6,-0.1,16,2,0.336,110,0.179
2022,"Rodolfo Castro","PIT",71,253,59,36,8,4,11,25,27,22,0,74,2,1,0,6,5,3,278,0.079,0.266,0.3,0.233,0.299,0.427,0.725,0.194,5.3,0.284,0.6,0.1,0.9,-0.4,33,1.3,0.315,100,0.228
2022,"Romy Gonzalez","CHW",32,105,25,18,4,1,2,15,11,2,0,39,1,1,0,3,0,1,109,0.018,0.358,0.05,0.238,0.257,0.352,0.609,0.114,5,0.354,-0.2,0.1,0,-0.5,9,-3.9,0.264,69,0.266
2020,"Ronald Acuña Jr.","ATL",46,160,40,15,11,0,14,46,29,38,2,60,4,0,0,3,8,1,202,0.188,0.297,0.63,0.25,0.406,0.581,0.987,0.331,5.9,0.302,0.9,0.3,0.7,1,41,15.9,0.413,158,0.283
2021,"Ronald Acuña Jr.","ATL",82,297,84,40,19,1,24,72,52,49,2,85,9,5,0,0,17,6,360,0.136,0.236,0.58,0.283,0.394,0.596,0.99,0.313,6.1,0.311,2.2,1,2.2,0.6,73,29.1,0.412,157,0.266
2022,"Ronald Acuña Jr.","ATL",119,467,124,85,24,0,15,71,50,53,4,126,10,3,0,8,29,11,533,0.099,0.236,0.42,0.266,0.351,0.413,0.764,0.148,4.9,0.331,4.3,-0.3,2.9,0.8,72,10.9,0.335,115,0.337
2023,"Ronald Acuña Jr.","ATL",159,643,217,137,35,4,41,149,106,80,3,84,9,3,0,15,73,14,735,0.109,0.114,0.95,0.337,0.416,0.596,1.012,0.258,7.3,0.338,2.2,-1.6,1.9,7,156,66.7,0.428,171,0.25
2020,"Rougned Odor","TEX",38,138,23,9,4,0,10,15,30,7,0,47,1,2,0,2,0,1,148,0.047,0.318,0.15,0.167,0.209,0.413,0.623,0.246,1.8,0.157,0.4,-0.1,0.4,-0.5,11,-7.6,0.259,60,0.202
2021,"Rougned Odor","NYY",102,322,65,38,12,0,15,42,39,27,2,100,11,0,1,3,0,1,361,0.075,0.277,0.27,0.202,0.286,0.379,0.665,0.177,2,0.242,1.3,1,1.2,-0.7,36,-7.4,0.289,84,0.207
2022,"Rougned Odor","BAL",135,426,88,53,19,3,13,49,53,32,1,109,10,4,0,9,6,1,472,0.068,0.231,0.29,0.207,0.275,0.357,0.632,0.15,5.1,0.244,0.7,0.3,0.4,0.4,42,-11.8,0.278,81,0.203
2020,"Rowdy Tellez","TOR",35,113,32,19,5,0,8,20,23,11,1,20,1,2,0,1,0,1,127,0.087,0.157,0.55,0.283,0.346,0.54,0.886,0.257,2.2,0.276,-2.1,0.3,0,-0.5,21,5.3,0.369,132,0.272
2021,"Rowdy Tellez","MIL",56,158,43,25,10,1,7,22,28,14,3,32,1,1,0,3,0,0,174,0.08,0.184,0.44,0.272,0.333,0.481,0.814,0.209,2.6,0.3,0,0.2,0,-0.1,25,3.8,0.341,112,0.209
2021,"Rowdy Tellez","TOR",50,139,29,20,4,1,4,12,8,9,1,33,3,0,0,3,0,0,151,0.06,0.219,0.27,0.209,0.272,0.338,0.61,0.129,2.2,0.245,0,-0.3,0,-0.1,12,-6.1,0.266,62,0.219
2022,"Rowdy Tellez","MIL",153,529,116,58,23,0,35,67,89,62,9,121,5,3,0,20,2,1,599,0.104,0.202,0.51,0.219,0.306,0.461,0.767,0.242,1.8,0.215,-4.3,-1.8,-4.4,-0.5,77,8.2,0.327,110,0.215
2023,"Rowdy Tellez","MIL",106,311,67,44,9,1,13,26,47,35,2,86,0,5,0,11,0,0,351,0.1,0.245,0.41,0.215,0.291,0.376,0.667,0.161,1.2,0.249,-1.9,-1.5,-1.5,-0.6,34,-8.8,0.288,79,0.243
2021,"Ryan Jeffers","MIN",85,267,53,28,10,1,14,28,35,22,0,108,4,0,0,6,0,1,293,0.075,0.369,0.2,0.199,0.27,0.401,0.67,0.202,2.3,0.269,-1.8,0.1,-0.7,-0.6,29,-6.1,0.289,83,0.208
2022,"Ryan Jeffers","MIN",67,212,44,26,10,1,7,25,27,23,0,62,0,0,1,6,0,0,236,0.097,0.263,0.37,0.208,0.285,0.363,0.648,0.156,2.4,0.259,-0.2,-0.9,0.2,-0.2,23,-4.2,0.287,86,0.276
2023,"Ryan Jeffers","MIN",96,286,79,48,15,2,14,46,43,33,1,93,10,2,4,6,3,2,335,0.099,0.278,0.35,0.276,0.369,0.49,0.858,0.213,4.4,0.359,-0.9,0,-1.1,-0.9,55,14.1,0.369,136,0.226
2021,"Ryan McKenna","BAL",90,169,31,22,6,1,2,20,14,24,0,74,2,0,2,1,1,0,197,0.122,0.376,0.32,0.183,0.292,0.266,0.559,0.083,4.5,0.312,1,0.6,1.7,0,15,-9.1,0.259,59,0.237
2022,"Ryan McKenna","BAL",105,156,37,25,10,0,2,23,11,11,1,55,2,1,2,3,2,1,172,0.064,0.32,0.2,0.237,0.294,0.34,0.634,0.103,4.1,0.35,2.7,0.2,1.2,-0.2,15,-4.2,0.279,81,0.254
2020,"Ryan McMahon","COL",52,172,37,21,6,1,9,23,26,18,0,66,2,1,0,4,0,1,193,0.093,0.342,0.27,0.215,0.295,0.419,0.714,0.203,3.1,0.286,1.2,0,0.7,-0.6,22,-2,0.308,76,0.254
2021,"Ryan McMahon","COL",151,528,134,78,32,1,23,80,86,59,2,147,4,5,0,14,6,2,596,0.099,0.247,0.4,0.254,0.331,0.449,0.779,0.195,3.8,0.306,-0.3,-1.2,-1.2,-0.1,82,9.6,0.334,93,0.246
2022,"Ryan McMahon","COL",153,529,130,84,23,3,20,67,67,60,0,158,5,3,0,7,7,3,597,0.101,0.265,0.38,0.246,0.327,0.414,0.741,0.168,4.2,0.311,1.6,0.9,1.2,-0.4,76,7.6,0.326,97,0.24
2023,"Ryan McMahon","COL",152,555,133,76,31,3,23,80,70,68,2,198,1,3,0,19,5,5,627,0.108,0.316,0.34,0.24,0.322,0.431,0.753,0.191,3.9,0.326,-1.6,-2.1,-0.8,-2.2,80,3.4,0.325,90,0.242
2020,"Ryan Mountcastle","BAL",35,126,42,32,5,0,5,12,23,11,0,30,1,2,0,2,0,1,140,0.079,0.214,0.37,0.333,0.386,0.492,0.878,0.159,0.8,0.398,-0.7,0.2,0.2,-0.6,24,6.7,0.377,139,0.255
2021,"Ryan Mountcastle","BAL",144,534,136,79,23,1,33,77,89,41,2,161,4,7,0,12,4,3,586,0.07,0.275,0.25,0.255,0.309,0.487,0.796,0.232,3.2,0.297,0.2,-0.5,0.5,-0.9,81,10,0.335,111,0.25
2022,"Ryan Mountcastle","BAL",145,555,139,88,28,1,22,62,85,43,1,154,4,7,0,12,4,1,609,0.071,0.253,0.28,0.25,0.305,0.423,0.729,0.173,3,0.303,1.7,-0.8,0.5,-0.2,73,3,0.316,107,0.27
2023,"Ryan Mountcastle","BAL",115,423,114,74,21,1,18,64,68,37,1,107,3,7,0,13,3,1,470,0.079,0.228,0.35,0.27,0.328,0.452,0.779,0.182,3.5,0.315,2,-0.4,1.4,-0.7,63,5.8,0.333,113,0.271
2022,"Sam Haggerty","SEA",83,176,45,30,9,1,5,29,23,18,3,53,4,2,1,4,13,1,201,0.09,0.264,0.34,0.256,0.335,0.403,0.738,0.148,7.4,0.333,0.1,0.1,0.9,2,25,1.6,0.32,115,0.253
2020,"Sam Hilliard","COL",36,105,22,12,2,2,6,13,10,9,0,42,0,0,0,0,3,0,114,0.079,0.368,0.21,0.21,0.272,0.438,0.71,0.229,7.1,0.281,0.9,0.5,0.8,0.5,13,-1.8,0.301,72,0.215
2021,"Sam Hilliard","COL",81,214,46,23,7,2,14,32,34,23,3,87,1,0,0,0,5,0,238,0.097,0.366,0.26,0.215,0.294,0.463,0.757,0.248,6.6,0.283,0.4,1.3,0.9,0.8,29,0.7,0.318,83,0.184
2022,"Sam Hilliard","COL",70,174,32,23,6,1,2,26,14,23,0,57,1,2,0,2,5,1,200,0.115,0.285,0.4,0.184,0.28,0.264,0.544,0.08,6.3,0.256,0.8,0.6,0.5,0.4,14,-9.3,0.251,46,0.239
2021,"Santiago Espinal","TOR",92,222,69,53,13,1,2,32,17,22,0,30,1,0,1,4,6,1,246,0.089,0.122,0.73,0.311,0.376,0.405,0.781,0.095,5,0.353,1.9,-0.1,1.2,0.5,36,6,0.344,115,0.267
2022,"Santiago Espinal","TOR",135,449,120,88,25,0,7,51,51,36,1,68,2,3,1,12,6,6,491,0.073,0.138,0.53,0.267,0.322,0.37,0.692,0.102,2.7,0.3,0.9,-0.7,0.6,-1.7,54,-1.7,0.305,100,0.248
2023,"Santiago Espinal","TOR",93,230,57,41,14,0,2,30,25,18,1,36,3,1,2,5,2,1,254,0.071,0.142,0.5,0.248,0.31,0.335,0.644,0.087,3.3,0.285,0.6,0.3,-0.3,-0.5,24,-7,0.285,79,0.246
2022,"Seiya Suzuki","CHC",111,397,104,66,22,2,14,54,46,42,3,110,4,3,0,8,9,5,446,0.094,0.247,0.38,0.262,0.336,0.433,0.77,0.171,4.5,0.326,0.3,-0.1,0.2,-0.6,60,8.7,0.334,118,0.285
2023,"Seiya Suzuki","CHC",138,515,147,90,31,6,20,75,74,59,3,130,2,7,0,8,6,7,583,0.101,0.223,0.45,0.285,0.357,0.485,0.842,0.2,4.5,0.341,-1.5,1,1,-2.9,90,19.4,0.358,127,0.283
2021,"Sergio Alcántara","CHC",89,220,45,31,6,3,5,30,17,30,2,74,2,2,1,3,3,0,255,0.118,0.29,0.41,0.205,0.303,0.327,0.63,0.123,6.2,0.28,0.1,0.2,0.7,0.4,23,-7.5,0.279,73,0.241
2021,"Seth Brown","OAK",111,281,60,26,13,1,20,43,48,23,2,89,1,2,0,1,4,1,307,0.075,0.29,0.26,0.214,0.274,0.48,0.754,0.267,5,0.23,-1.8,1.6,-1.6,0.2,37,0,0.315,104,0.23
2022,"Seth Brown","OAK",150,500,115,61,26,3,25,55,73,51,3,146,3,1,0,7,11,2,555,0.092,0.263,0.35,0.23,0.305,0.444,0.749,0.214,4.7,0.273,0.1,1.4,-0.1,0.9,69,6,0.323,115,0.222
2023,"Seth Brown","OAK",112,343,76,42,19,1,14,33,52,30,1,101,2,2,1,6,3,1,378,0.079,0.267,0.3,0.222,0.286,0.405,0.692,0.184,3.2,0.27,-1.9,0.5,-2.2,-0.4,40,-6.5,0.298,91,0.231
2022,"Shea Langeliers","OAK",40,142,31,14,10,1,6,14,22,9,0,53,0,2,0,4,0,0,153,0.059,0.346,0.17,0.218,0.261,0.43,0.691,0.211,2.5,0.294,-0.1,-0.1,-0.2,-0.1,16,-1.7,0.296,95,0.205
2023,"Shea Langeliers","OAK",135,448,92,47,19,4,22,52,63,34,2,143,5,2,1,10,3,2,490,0.069,0.292,0.24,0.205,0.268,0.413,0.681,0.208,4.4,0.246,-1.5,0.1,1,-0.9,48,-11.4,0.29,86,0.224
2020,"Shogo Akiyama","CIN",54,155,38,31,6,1,0,16,9,25,0,34,2,0,0,1,7,3,183,0.137,0.186,0.74,0.245,0.357,0.297,0.654,0.052,5,0.314,-0.3,0.6,0.3,-0.1,20,-2.5,0.304,81,0.204
2022,"Spencer Steer","CIN",28,95,20,13,5,0,2,12,8,11,0,26,2,0,0,2,0,1,108,0.102,0.241,0.42,0.211,0.306,0.326,0.632,0.116,2.3,0.269,0.3,0.2,0.2,-0.5,10,-2,0.287,77,0.271
2023,"Spencer Steer","CIN",156,582,158,95,37,3,23,74,86,68,0,139,11,4,0,9,15,3,665,0.102,0.209,0.49,0.271,0.356,0.464,0.82,0.192,4.7,0.318,0.4,0.9,-0.9,0.4,101,20.1,0.355,118,0.225
2022,"Spencer Torkelson","DET",110,360,73,48,16,1,8,38,28,37,0,99,5,2,0,12,0,1,404,0.092,0.245,0.37,0.203,0.285,0.319,0.604,0.117,2.4,0.255,-1.2,-1.2,-1,-0.8,34,-12.1,0.272,76,0.233
2023,"Spencer Torkelson","DET",159,606,141,75,34,1,31,88,94,67,1,171,6,5,0,15,3,0,684,0.098,0.25,0.39,0.233,0.313,0.446,0.758,0.213,3.3,0.269,1.7,-0.5,0.6,-0.5,88,4.2,0.326,106,0.219
2020,"Starling Marte","ARI",33,122,38,27,8,1,2,23,14,10,1,19,5,1,0,3,5,2,138,0.072,0.138,0.53,0.311,0.384,0.443,0.827,0.131,6.3,0.353,1.6,-0.3,1.1,0,22,4.6,0.359,123,0.245
2020,"Starling Marte","MIA",28,106,26,16,6,0,4,13,13,2,0,22,4,0,0,2,5,0,112,0.018,0.196,0.09,0.245,0.286,0.415,0.701,0.17,6,0.275,-0.1,0,-0.4,0.9,12,-1.7,0.302,89,0.316
2021,"Starling Marte","OAK",56,234,74,51,16,2,5,37,30,11,0,42,5,1,0,4,25,2,251,0.044,0.167,0.26,0.316,0.359,0.466,0.824,0.15,8.1,0.367,1.9,0.5,1.5,3.9,39,8.4,0.355,131,0.305
2021,"Starling Marte","MIA",64,233,71,52,11,1,7,52,25,32,2,57,8,1,1,2,22,3,275,0.116,0.207,0.56,0.305,0.405,0.451,0.856,0.146,7.4,0.376,2,1.1,1.9,2.8,47,13.4,0.373,133,0.292
2022,"Starling Marte","NYM",118,466,136,91,24,5,16,76,63,26,0,97,13,0,0,18,18,9,505,0.051,0.192,0.27,0.292,0.347,0.468,0.814,0.176,6.5,0.34,2,-1.7,0.8,-0.5,76,18,0.355,133,0.248
2023,"Starling Marte","NYM",86,315,78,65,7,1,5,38,28,16,1,69,8,0,2,8,24,4,341,0.047,0.202,0.23,0.248,0.301,0.324,0.625,0.076,6.6,0.303,1.6,0.1,1.2,2.4,30,-11.5,0.278,75,0.269
2020,"Stephen Piscotty","OAK",45,159,36,25,6,0,5,17,29,9,0,53,1,1,1,4,4,0,171,0.053,0.31,0.17,0.226,0.271,0.358,0.629,0.132,4.5,0.304,0.9,-0.2,0.2,0.7,15,-6.8,0.273,75,0.22
2021,"Stephen Piscotty","OAK",72,173,38,25,8,0,5,14,16,13,0,48,2,0,0,2,1,0,188,0.069,0.255,0.27,0.22,0.282,0.353,0.635,0.133,2.2,0.275,-1.2,0.1,-0.4,0.1,17,-5.6,0.279,79,0.19
2021,"Stephen Vogt","ARI",52,132,28,16,6,1,5,17,17,18,1,36,0,0,1,2,0,0,151,0.119,0.238,0.5,0.212,0.307,0.386,0.693,0.174,2.8,0.253,-0.4,0.2,-0.1,-0.1,17,-1.7,0.301,86,0.161
2022,"Steven Kwan","CLE",147,563,168,130,25,7,6,89,52,62,2,60,7,4,2,9,19,5,638,0.097,0.094,1.03,0.298,0.373,0.4,0.772,0.101,6.2,0.323,2.8,1.1,5,1,89,16,0.341,125,0.268
2023,"Steven Kwan","CLE",158,638,171,123,36,7,5,93,54,70,2,75,3,6,1,9,21,3,718,0.097,0.104,0.93,0.268,0.34,0.37,0.71,0.102,6.3,0.294,0,0.1,2.9,1.4,84,-3.2,0.313,99,0.292
2023,"Stuart Fairchild","CIN",97,219,50,27,16,2,5,34,28,25,0,69,6,2,3,2,10,3,255,0.098,0.271,0.36,0.228,0.321,0.388,0.71,0.16,7,0.306,1.3,0.7,1.6,0.3,30,-1.3,0.312,90,0.215
2022,"TJ Friedl","CIN",72,225,54,31,10,5,8,33,25,20,0,40,7,6,0,3,7,2,258,0.078,0.155,0.5,0.24,0.314,0.436,0.75,0.196,7.2,0.251,0.5,0,0.2,0.4,32,2.8,0.323,102,0.279
2023,"TJ Friedl","CIN",138,488,136,88,22,8,18,73,66,47,1,90,10,3,8,0,27,6,556,0.085,0.162,0.52,0.279,0.352,0.467,0.819,0.189,7.2,0.308,4.1,3.2,4.3,1.8,84,15.8,0.353,117,0.226
2021,"Taylor Trammell","SEA",51,156,25,10,7,0,8,23,18,17,0,75,3,0,2,1,2,3,178,0.096,0.421,0.23,0.16,0.256,0.359,0.615,0.199,3.7,0.233,0.4,0.6,0.6,-1,15,-6.6,0.27,73,0.196
2021,"Taylor Walls","TBR",54,152,32,21,10,0,1,15,15,23,0,49,0,0,1,3,4,2,176,0.131,0.278,0.47,0.211,0.314,0.296,0.61,0.086,3.3,0.304,0.1,0.1,0.9,-0.2,16,-5.2,0.279,79,0.172
2022,"Taylor Walls","TBR",142,407,70,42,18,2,8,53,33,52,0,120,2,2,2,6,10,3,466,0.112,0.258,0.43,0.172,0.268,0.285,0.553,0.113,5.5,0.221,2.5,0.3,2.8,0.4,32,-21.2,0.252,65,0.201
2023,"Taylor Walls","TBR",99,303,61,39,12,2,8,50,36,44,0,92,1,0,1,1,22,1,349,0.126,0.264,0.48,0.201,0.305,0.333,0.638,0.132,7.6,0.261,1.4,1.8,1.5,3.3,33,-9.1,0.287,84,0.183
2020,"Taylor Ward","LAA",34,94,26,18,6,2,0,16,5,8,0,28,0,0,0,1,2,0,102,0.078,0.275,0.29,0.277,0.333,0.383,0.716,0.106,7.7,0.394,1.5,0.3,0.7,0.3,12,-0.5,0.314,96,0.25
2021,"Taylor Ward","LAA",65,208,52,29,15,0,8,33,33,20,0,55,6,1,2,4,1,1,237,0.084,0.232,0.36,0.25,0.332,0.438,0.769,0.188,2.8,0.301,0.1,-0.1,0.7,-0.4,32,3.7,0.333,110,0.281
2022,"Taylor Ward","LAA",135,495,139,92,22,2,23,73,65,60,0,120,4,5,0,5,5,3,564,0.106,0.213,0.5,0.281,0.36,0.473,0.833,0.192,3.4,0.325,0.3,1.2,-1.8,-0.8,88,23.4,0.362,136,0.253
2023,"Taylor Ward","LAA",97,356,90,58,18,0,14,60,47,39,0,80,8,6,0,9,4,2,409,0.095,0.196,0.49,0.253,0.335,0.421,0.756,0.169,3.6,0.284,0.3,-0.5,-0.9,-0.9,53,3.6,0.329,108,0.246
2020,"Teoscar Hernández","TOR",50,190,55,32,7,0,16,33,34,14,0,63,1,1,0,4,6,1,207,0.068,0.304,0.22,0.289,0.34,0.579,0.919,0.289,4.5,0.348,0.5,-0.1,0.2,0.6,37,11.2,0.384,142,0.296
2021,"Teoscar Hernández","TOR",143,550,163,102,29,0,32,92,116,36,1,148,7,2,0,5,12,4,595,0.061,0.249,0.24,0.296,0.346,0.524,0.87,0.227,4.1,0.352,0.3,1.8,1.2,0.2,99,26.8,0.369,132,0.267
2022,"Teoscar Hernández","TOR",131,499,133,72,35,1,25,71,77,34,0,152,2,0,0,18,6,3,535,0.064,0.284,0.22,0.267,0.316,0.491,0.807,0.224,3.8,0.335,0.2,-2.3,1,-0.4,77,16.2,0.348,130,0.258
2023,"Teoscar Hernández","SEA",160,625,161,104,29,2,26,70,93,38,2,211,8,7,0,6,7,2,678,0.056,0.311,0.18,0.258,0.305,0.435,0.741,0.178,3.7,0.342,-4.1,1.8,-3.8,-0.6,82,-1.1,0.317,107,0.272
2021,"Thairo Estrada","SFG",52,121,33,22,4,0,7,19,22,9,1,23,2,0,0,2,1,0,132,0.068,0.174,0.39,0.273,0.333,0.479,0.813,0.207,3.4,0.286,0.9,0.3,0.6,0.1,19,3.5,0.346,119,0.26
2022,"Thairo Estrada","SFG",140,488,127,89,22,2,14,71,62,33,0,89,14,5,1,10,21,6,541,0.061,0.165,0.37,0.26,0.322,0.4,0.722,0.139,5.8,0.29,0.8,0.3,0.1,1.3,65,3.3,0.317,106,0.271
2023,"Thairo Estrada","SFG",120,495,134,92,26,2,14,63,49,22,1,120,11,2,0,10,23,7,530,0.042,0.226,0.18,0.271,0.315,0.416,0.731,0.145,5.7,0.331,3,1.1,1.2,0.7,64,-0.9,0.316,100,0.217
2020,"Tommy Edman","STL",55,204,51,38,7,1,5,29,26,16,0,48,5,2,0,5,2,4,227,0.07,0.211,0.33,0.25,0.317,0.368,0.685,0.118,4,0.301,1,0.2,1.1,-1.5,25,-3.5,0.302,90,0.262
2021,"Tommy Edman","STL",159,641,168,113,41,3,11,91,56,38,1,95,6,4,2,4,30,5,691,0.055,0.137,0.4,0.262,0.308,0.387,0.695,0.125,6.3,0.291,3,1.6,3.2,3.4,76,-7.8,0.301,89,0.265
2022,"Tommy Edman","STL",153,577,153,105,31,4,13,95,57,46,2,111,5,1,1,10,32,3,630,0.073,0.176,0.41,0.265,0.324,0.4,0.725,0.135,7.2,0.308,3.8,0,2.6,4.6,76,3.9,0.318,106,0.248
2023,"Tommy Edman","STL",137,479,119,77,25,4,13,69,47,35,1,84,7,4,3,9,27,4,528,0.066,0.159,0.42,0.248,0.307,0.399,0.705,0.15,7,0.275,-1.2,0.2,0,2.8,59,-5.6,0.306,92,0.237
2020,"Tommy La Stella","OAK",27,97,28,19,6,2,1,16,11,12,0,5,1,1,0,3,0,0,111,0.108,0.045,2.4,0.289,0.369,0.423,0.792,0.134,4.2,0.293,-0.3,-0.4,0.1,-0.1,16,2.5,0.346,125,0.273
2020,"Tommy La Stella","LAA",28,99,27,15,8,0,4,15,14,15,0,7,1,1,1,3,1,0,117,0.128,0.06,2.14,0.273,0.371,0.475,0.845,0.202,3.2,0.258,-1.3,-0.2,0.1,0.1,19,4.4,0.364,131,0.25
2021,"Tommy La Stella","SFG",76,220,55,36,11,1,7,26,27,18,1,26,1,1,0,4,0,0,242,0.074,0.107,0.69,0.25,0.308,0.405,0.713,0.155,2.1,0.255,-0.7,-0.2,-0.4,-0.2,28,-1.5,0.307,94,0.239
2020,"Tony Kemp","OAK",49,93,23,18,5,0,0,15,4,15,0,14,3,2,1,0,3,1,114,0.132,0.123,1.07,0.247,0.363,0.301,0.664,0.054,4.4,0.284,1.1,0.6,0.7,0.1,13,-1.2,0.307,99,0.279
2021,"Tony Kemp","OAK",131,330,92,65,16,3,8,54,37,52,0,51,6,5,4,2,8,2,397,0.131,0.128,1.02,0.279,0.382,0.418,0.8,0.139,5.4,0.304,1.8,1.7,1.7,0.3,60,12.1,0.351,128,0.235
2022,"Tony Kemp","OAK",147,497,117,84,24,2,7,61,46,45,0,69,8,3,5,5,11,1,558,0.081,0.124,0.65,0.235,0.307,0.334,0.641,0.099,5.1,0.259,2,0.9,1.6,1.2,54,-9.9,0.287,90,0.209
2021,"Travis Jankowski","PHI",76,131,33,24,6,2,1,24,10,22,4,29,1,0,2,1,5,0,157,0.14,0.185,0.76,0.252,0.364,0.351,0.715,0.099,7.7,0.317,-0.7,0.5,1.3,0.9,19,-0.3,0.312,93,0.263
2023,"Travis Jankowski","TEX",107,247,65,51,12,1,1,34,30,35,0,42,2,2,1,6,19,1,287,0.122,0.146,0.83,0.263,0.357,0.332,0.689,0.069,6.3,0.311,-2.9,0.6,0.2,2.7,34,-1.4,0.312,99,0.2
2020,"Travis Shaw","TOR",50,163,39,23,10,0,6,17,17,16,0,50,0,1,0,4,0,0,180,0.089,0.278,0.32,0.239,0.306,0.411,0.717,0.172,0.9,0.306,-3.1,0.3,-3.2,-0.1,21,-1.5,0.31,91,0.191
