Season,Name,Team,G,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,PA,BB.Percent,K.Percent,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,next_AVG
2021,Andrew Knizner,STL,63,161,28,20,7,0,1,18,9,20,2,39,4,0,0,7,0,0,185,0.10800000000000001,0.21100000000000002,0.51,0.174,0.281,0.236,0.517,0.062,1.8,0.223,-0.2,-1.2,-0.6,-0.1,11,-11.6,0.238,48,0.215
2022,Andrew Knizner,STL,97,260,56,42,10,0,4,28,25,26,0,62,6,0,1,9,0,1,293,0.08900000000000001,0.212,0.42,0.215,0.301,0.3,0.601,0.085,1.7,0.268,-0.1,-1.0,0.8,-0.7,25,-8.1,0.275,77,0.241
2020,Andrew McCutchen,PHI,57,217,55,36,9,0,10,32,34,22,0,48,1,1,0,4,4,0,241,0.091,0.19899999999999998,0.46,0.253,0.324,0.433,0.757,0.18,4.2,0.281,-1.9,-0.3,-1.1,0.6,32,1.5,0.327,102,0.222
2021,Andrew McCutchen,PHI,144,482,107,55,24,1,27,78,80,81,2,132,4,7,0,10,6,1,574,0.141,0.23,0.61,0.222,0.334,0.444,0.778,0.222,3.9,0.242,1.2,0.0,1.7,0.3,79,9.6,0.335,108,0.237
2022,Andrew McCutchen,MIL,134,515,122,80,25,0,17,66,69,57,1,124,4,4,0,10,8,6,580,0.098,0.214,0.46,0.237,0.316,0.384,0.7,0.148,3.0,0.278,-2.6,-0.1,-1.2,-1.4,66,-0.3,0.309,98,0.256
2023,Andrew McCutchen,PIT,112,390,100,69,19,0,12,55,43,75,1,100,4,4,0,8,11,3,473,0.159,0.21100000000000002,0.75,0.256,0.378,0.397,0.776,0.141,3.6,0.312,-2.1,0.6,-1.4,-0.2,68,10.6,0.345,115,0.232
2021,Andrew Vaughn,CHW,127,417,98,61,22,0,15,56,48,41,0,101,6,5,0,14,1,1,469,0.087,0.215,0.41,0.235,0.309,0.396,0.705,0.161,2.2,0.271,-1.9,-1.1,-2.0,-0.6,54,-3.1,0.306,93,0.271
2022,Andrew Vaughn,CHW,134,510,138,92,28,1,17,60,76,31,0,96,9,5,0,13,0,0,555,0.055999999999999994,0.17300000000000001,0.32,0.271,0.321,0.429,0.75,0.159,1.8,0.301,-2.0,-0.7,-3.0,-0.5,71,7.5,0.327,113,0.258
2023,Andrew Vaughn,CHW,152,566,146,93,30,2,21,67,80,36,0,129,11,2,0,15,0,0,615,0.059000000000000004,0.21,0.28,0.258,0.314,0.429,0.743,0.171,2.1,0.299,-4.1,-0.9,-3.4,-1.1,76,1.5,0.321,103,0.246
2023,Andruw Monasterio,MIL,92,282,73,55,14,1,3,38,27,28,0,66,3,2,0,9,7,2,315,0.08900000000000001,0.21,0.42,0.259,0.33,0.348,0.678,0.089,4.9,0.326,-1.8,-1.3,-0.5,-0.1,34,-4.2,0.302,89,0.208
2020,Andrés Giménez,NYM,49,118,31,23,3,2,3,22,12,7,0,28,6,1,0,0,8,1,132,0.053,0.212,0.25,0.263,0.333,0.398,0.732,0.136,9.1,0.318,1.3,0.7,1.2,1.1,17,0.1,0.321,105,0.218
2021,Andrés Giménez,CLE,68,188,41,26,10,0,5,23,16,11,0,54,7,3,1,1,11,0,210,0.052000000000000005,0.257,0.2,0.218,0.282,0.351,0.633,0.133,6.2,0.273,-0.1,0.7,-0.1,2.0,19,-6.4,0.277,76,0.297
2022,Andrés Giménez,CLE,146,491,146,100,26,3,17,66,69,34,4,112,25,3,4,9,20,3,557,0.061,0.201,0.3,0.297,0.371,0.466,0.837,0.169,5.8,0.353,0.4,0.8,1.7,2.2,88,24.0,0.364,141,0.251
2023,Andrés Giménez,CLE,153,557,140,93,27,5,15,76,62,32,3,112,20,3,4,10,30,6,616,0.052000000000000005,0.182,0.29,0.251,0.314,0.399,0.712,0.147,7.0,0.289,0.3,-0.1,1.8,2.4,70,-4.7,0.309,96,0.252
2021,Andy Ibáñez,TEX,76,253,70,46,15,2,7,31,25,15,0,35,2,1,1,6,0,0,272,0.055,0.129,0.43,0.277,0.321,0.435,0.756,0.158,2.7,0.297,-0.6,0.0,-1.0,-0.2,35,2.4,0.325,106,0.218
2022,Andy Ibáñez,TEX,40,119,26,21,4,0,1,13,9,9,0,21,0,0,0,0,3,0,128,0.07,0.16399999999999998,0.43,0.218,0.273,0.277,0.551,0.059,4.8,0.258,0.2,0.6,0.0,0.5,8,-6.2,0.249,59,0.264
2023,Andy Ibáñez,DET,114,356,94,58,23,2,11,42,41,24,0,69,1,1,1,7,1,0,383,0.063,0.18,0.35,0.264,0.312,0.433,0.744,0.169,3.2,0.3,-0.2,0.4,-0.2,-0.4,47,0.7,0.32,103,0.241
2020,Anthony Rendon,LAA,52,189,54,33,11,1,9,29,31,38,2,31,5,0,0,10,0,0,232,0.16399999999999998,0.134,1.23,0.286,0.418,0.497,0.915,0.212,2.0,0.302,1.1,-0.9,0.7,-0.2,44,14.8,0.395,152,0.24
2021,Anthony Rendon,LAA,58,217,52,33,13,0,6,24,34,29,2,41,1,2,0,11,0,0,249,0.11599999999999999,0.165,0.71,0.24,0.329,0.382,0.712,0.143,1.0,0.267,0.4,-1.3,-0.3,-0.2,29,-0.9,0.31,94,0.229
